model,task,decode_batch,team_size,rounds,carry_history,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,wall_latency_s
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,1,1,0,32,31.404,881.6,301.3,3.48
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,1,1,0,32,55.228,716.7,524.3,6.16
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,1,1,0,32,48.775,1833.4,392.8,5.51
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,2,1,0,32,133.191,3713.1,778.6,14.64
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,2,1,0,32,186.922,4295.2,1269.7,20.39
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,2,1,0,32,204.29,6075.2,1025.5,22.27
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,3,1,0,32,245.573,8964.1,1293.7,26.78
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,3,1,0,32,370.867,10854.9,1997.3,40.29
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,3,1,0,32,341.799,13080.1,1608.0,37.1
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,4,1,0,32,420.106,16819.2,1830.8,45.82
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,4,1,0,32,572.473,20507.0,2640.7,62.29
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,4,1,0,32,591.221,22999.9,2255.7,64.13
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,5,1,0,32,637.2,27645.7,2423.8,69.18
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,5,1,0,32,893.309,33189.7,3382.3,96.64
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,5,1,0,32,855.513,35774.4,2915.0,92.57
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,6,1,0,32,815.942,40236.6,2799.3,88.8
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,6,1,0,32,1137.001,48894.7,4092.3,122.84
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,6,1,0,32,1076.677,51443.1,3549.5,116.49
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,1,1,1,32,36.554,888.1,347.1,3.99
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,1,1,1,32,125.226,736.7,568.5,13.53
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,1,1,1,32,123.518,1337.3,390.4,13.32
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,2,1,1,32,139.732,3891.3,825.6,15.29
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,2,1,1,32,236.365,4373.0,1332.4,25.8
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,2,1,1,32,162.925,4917.3,942.9,17.71
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,3,1,1,32,268.811,9349.6,1359.3,29.29
