model,task,decode_batch,team_size,rounds,carry_history,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,wall_latency_s
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,1,1,0,32,146.85,888.8,504.9,15.87
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,1,1,0,32,165.708,719.1,910.7,17.87
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,1,1,0,32,159.657,1838.8,772.7,17.21
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,2,1,0,32,357.734,4289.8,1423.1,38.47
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,2,1,0,32,449.074,4478.1,2352.7,48.31
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,2,1,0,32,428.374,6564.8,1841.4,46.3
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,3,1,0,32,638.774,10509.7,2051.2,68.88
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,3,1,0,32,791.874,11324.2,3352.1,85.24
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,3,1,0,32,786.168,14398.1,2974.9,84.77
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,4,1,0,32,1026.067,19737.9,2778.9,110.32
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,4,1,0,32,1212.773,21182.7,4406.1,130.48
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,4,1,0,32,1175.281,25165.3,3757.0,126.48
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,5,1,0,32,1375.003,31894.2,3588.8,147.84
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,5,1,0,32,1734.718,34113.3,6004.2,186.36
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,5,1,0,32,1581.03,38984.7,4478.6,170.08
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,6,1,0,32,1871.146,46867.5,4468.9,201.14
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,6,1,0,32,2165.177,49930.3,6996.5,232.57
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,6,1,0,32,2099.968,56229.2,5535.8,226.02
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,1,1,1,32,139.267,898.3,511.7,15.06
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,1,1,1,32,166.644,735.9,869.7,17.93
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,1,1,1,32,142.857,1341.6,641.3,15.46
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,2,1,1,32,289.401,4224.4,1368.1,31.32
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,2,1,1,32,434.145,4487.2,2096.7,46.77
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,2,1,1,32,430.922,5496.4,1915.6,46.31
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,3,1,1,32,633.603,10463.6,2202.0,68.17
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,3,1,1,32,775.591,11250.0,3091.9,83.67
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,3,1,1,32,722.746,12788.1,2748.8,77.77
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,4,1,1,32,1016.929,19566.2,2928.3,109.38
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,4,1,1,32,1188.184,21149.4,4296.1,127.74
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,4,1,1,32,1160.776,22990.8,3709.9,125.09
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,5,1,1,32,1205.726,31620.3,3240.8,129.82
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,5,1,1,32,1600.191,33919.5,4857.9,171.91
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,5,1,1,32,1615.525,36456.2,4633.5,173.59
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,6,1,1,32,1892.613,46828.4,4434.6,203.42
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,6,1,1,32,2079.446,49658.0,6019.9,223.57
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,6,1,1,32,2048.12,52705.4,5309.2,220.18
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,1,1,2,32,128.194,884.5,477.7,13.81
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,1,1,2,32,160.727,716.6,727.3,17.32
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,1,1,2,32,139.981,1801.2,570.7,15.08
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,2,1,2,32,276.611,4195.3,1191.9,29.79
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,2,1,2,32,423.292,4420.9,1972.0,45.85
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,2,1,2,32,422.47,6323.0,1745.6,45.51
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,3,1,2,32,560.573,10427.5,1914.5,60.52
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,3,1,2,32,780.314,11121.1,3036.8,84.0
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,3,1,2,32,745.437,13852.3,2599.7,80.26
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,4,1,2,32,991.028,19499.2,2554.8,106.88
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,4,1,2,32,1227.975,20786.1,4373.2,131.96
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,4,1,2,32,1161.725,24428.6,3392.6,124.94
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,5,1,2,32,1279.933,31744.1,3236.8,137.96
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,5,1,2,32,1613.173,33591.7,4762.2,173.39
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,5,1,2,32,1558.378,37821.6,4654.3,167.66
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,6,1,2,32,1560.242,46458.4,3763.0,168.13
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,6,1,2,32,2006.829,49487.3,5662.9,215.57
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,6,1,2,32,2049.548,54431.9,5550.8,220.58
