model,task,decode_batch,team_size,rounds,carry_history,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,wall_latency_s
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,30,3,0,0,32,5997.409,222539.3,12348.7,645.19
Qwen/Qwen2.5-7B-Instruct,gpqa,64,2,3,0,0,32,158.304,3094.1,642.8,17.05
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,3,0,0,32,309.365,10781.8,1613.3,33.61
Qwen/Qwen2.5-7B-Instruct,gpqa,64,10,3,0,0,32,802.28,31721.5,3374.6,87.28
Qwen/Qwen2.5-7B-Instruct,gpqa,64,20,3,0,0,32,2777.631,105903.8,7215.9,299.61
Qwen/Qwen2.5-7B-Instruct,gpqa,64,30,3,0,0,32,6067.006,223144.9,10920.2,652.88
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,2,3,0,1,32,99.925,1870.5,539.4,11.02
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,3,0,1,32,249.308,7284.6,1322.2,27.38
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,10,3,0,1,32,638.271,23916.8,2863.1,69.66
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,20,3,0,1,32,2159.195,85082.7,5850.4,233.31
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,30,3,0,1,32,4612.032,183230.9,9047.7,497.02
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,2,3,0,1,32,132.815,1881.5,733.6,14.27
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,3,0,1,32,323.779,8222.2,2052.5,35.24
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,10,3,0,1,32,840.937,27927.3,3979.1,91.45
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,20,3,0,1,32,2918.976,103232.3,8461.1,314.09
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,30,3,0,1,32,5926.879,223801.6,12421.6,637.2
Qwen/Qwen2.5-7B-Instruct,gpqa,64,2,3,0,1,32,149.726,2476.4,612.3,16.15
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,3,0,1,32,356.43,9068.3,1564.2,38.51
Qwen/Qwen2.5-7B-Instruct,gpqa,64,10,3,0,1,32,839.034,28122.2,3348.9,90.95
Qwen/Qwen2.5-7B-Instruct,gpqa,64,20,3,0,1,32,2563.938,96792.5,6572.4,276.62
Qwen/Qwen2.5-7B-Instruct,gpqa,64,30,3,0,1,32,5685.468,206768.6,10106.8,612.05
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,2,3,0,2,32,121.378,1839.8,533.4,13.22
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,3,0,2,32,249.421,7226.9,1304.1,27.24
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,10,3,0,2,32,628.974,23135.3,2580.0,68.65
