model,task,decode_batch,team_size,rounds,carry_history,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,wall_latency_s
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,1,0,0,32,32.167,881.6,300.8,3.56
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,1,0,0,32,53.577,716.7,525.2,5.95
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,1,0,0,32,48.92,1833.4,390.4,5.51
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,2,0,0,32,135.401,3731.9,793.3,14.87
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,2,0,0,32,191.1,4290.2,1277.9,20.82
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,2,0,0,32,188.59,6048.7,1019.8,20.55
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,3,0,0,32,216.435,7100.9,1241.7,23.82
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,3,0,0,32,309.291,8102.2,1972.5,33.83
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,3,0,0,32,273.413,10747.8,1592.1,30.03
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,4,0,0,32,351.663,10680.6,1881.5,38.35
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,4,0,0,32,394.084,11939.2,2675.8,43.11
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,4,0,0,32,421.923,15559.6,2236.0,45.93
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,5,0,0,32,526.118,14346.4,2488.8,57.36
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,5,0,0,32,522.426,15733.2,3471.8,57.23
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,5,0,0,32,622.081,20473.0,3018.6,67.61
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,6,0,0,32,553.296,18126.5,2914.5,60.27
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,6,0,0,32,785.816,19470.6,4073.3,85.33
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,6,0,0,32,716.434,25271.9,3617.8,77.82
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,1,0,1,32,39.059,888.1,348.5,4.34
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,1,0,1,32,55.567,736.7,539.0,6.21
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,1,0,1,32,50.71,1337.3,364.0,5.63
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,2,0,1,32,138.369,3893.2,845.1,15.29
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,2,0,1,32,204.608,4386.6,1320.1,22.38
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,2,0,1,32,240.484,4910.0,1008.0,26.1
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,3,0,1,32,230.522,7321.7,1364.5,25.11
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,3,0,1,32,312.182,8193.9,2076.9,34.0
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,3,0,1,32,365.283,9058.8,1578.4,39.55
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,4,0,1,32,326.017,10929.0,1893.0,35.78
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,4,0,1,32,418.588,12059.0,2734.5,45.71
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,4,0,1,32,480.52,13330.5,2286.8,52.42
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,5,0,1,32,439.416,14480.5,2424.3,48.01
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,5,0,1,32,600.554,15895.2,3531.7,65.24
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,5,0,1,32,513.678,17692.0,2888.9,56.03
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,6,0,1,32,541.513,18308.8,3026.4,59.15
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,6,0,1,32,694.966,19676.2,4129.6,75.53
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,6,0,1,32,676.839,21887.2,3354.7,73.44
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,1,0,2,32,39.142,879.1,314.3,4.39
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,1,0,2,32,138.352,712.3,530.1,15.05
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,1,0,2,32,46.343,1807.0,330.0,5.04
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,2,0,2,32,140.212,3728.0,792.4,15.45
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,2,0,2,32,330.842,4219.5,1287.9,35.63
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,2,0,2,32,151.264,5706.7,862.3,16.6
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,3,0,2,32,238.207,7220.5,1326.0,26.08
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,3,0,2,32,300.405,7979.1,1863.1,32.79
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,3,0,2,32,257.813,10298.8,1451.4,28.24
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,4,0,2,32,352.526,10745.5,1821.3,38.6
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,4,0,2,32,550.209,11756.8,2579.8,59.67
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,4,0,2,32,363.916,14990.8,1956.9,39.63
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,5,0,2,32,450.487,14512.0,2449.7,49.23
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,5,0,2,32,643.853,15505.7,3266.2,69.78
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,5,0,2,32,479.819,19762.0,2629.5,52.43
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,5,6,0,2,32,611.793,18051.8,2948.9,66.66
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,6,0,2,32,793.468,19266.4,4055.0,86.03
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,6,0,2,32,660.507,24574.9,3158.1,71.66
