model,task,decode_batch,team_size,rounds,carry_history,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,wall_latency_s
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,1,0,0,32,147.036,888.8,511.0,15.85
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,1,0,0,32,165.778,719.1,907.8,17.84
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,1,0,0,32,167.285,1838.8,847.3,18.06
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,2,0,0,32,361.528,4301.7,1285.8,38.94
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,2,0,0,32,445.911,4475.5,2346.7,47.97
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,2,0,0,32,445.145,6554.2,1977.8,48.14
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,3,0,0,32,599.07,8156.7,2275.8,64.46
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,3,0,0,32,730.742,8358.1,3613.9,78.71
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,3,0,0,32,709.198,11583.6,3120.9,76.43
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,4,0,0,32,802.853,12152.8,3097.2,86.36
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,4,0,0,32,983.013,12225.3,4782.5,105.78
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,4,0,0,32,960.569,16604.1,4343.5,103.54
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,5,0,0,32,975.311,16161.9,3815.8,105.18
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,5,0,0,32,1231.222,16084.4,5793.1,132.57
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,5,0,0,32,1267.637,21699.1,5866.0,136.52
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,6,0,0,32,1318.907,19965.6,4829.1,141.92
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,6,0,0,32,1442.363,19967.5,6630.3,155.19
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,6,0,0,32,1526.473,26684.3,6951.6,164.37
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,1,0,1,32,138.352,898.3,487.2,14.94
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,1,0,1,32,165.635,735.9,882.5,17.82
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,1,0,1,32,146.867,1341.6,725.1,15.9
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,2,0,1,32,370.724,4226.7,1391.5,39.89
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,2,0,1,32,444.393,4476.7,2173.2,47.86
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,2,0,1,32,413.311,5521.9,1840.6,44.6
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,3,0,1,32,593.68,8168.8,2248.8,63.93
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,3,0,1,32,679.848,8367.2,2936.6,73.24
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,3,0,1,32,691.666,10037.8,2986.2,74.47
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,4,0,1,32,785.313,12067.0,2631.1,84.6
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,4,0,1,32,920.804,12219.2,4089.4,99.23
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,4,0,1,32,941.261,14580.8,4181.3,101.31
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,5,0,1,32,1099.882,16088.8,4115.3,118.43
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,5,0,1,32,1164.272,16144.5,5169.7,125.63
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,5,0,1,32,1195.886,19126.0,5025.4,128.74
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,6,0,1,32,1329.327,20155.6,5054.0,143.09
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,6,0,1,32,1415.694,20082.0,6169.8,152.65
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,6,0,1,32,1434.164,23640.9,6219.1,154.53
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,1,0,2,32,145.807,884.5,483.9,15.79
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,1,0,2,32,143.99,716.6,699.6,15.54
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,1,0,2,32,77.099,1801.2,545.1,8.36
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,2,0,2,32,363.413,4190.8,1271.1,39.25
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,2,0,2,32,438.483,4416.1,2021.3,47.26
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,2,0,2,32,349.842,6308.4,1682.3,37.93
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,3,0,2,32,382.66,8103.1,1858.8,41.33
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,3,0,2,32,693.628,8268.9,2893.2,74.73
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,3,0,2,32,617.099,11233.6,2624.0,66.66
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,4,0,2,32,745.962,12072.1,2886.2,80.45
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,4,0,2,32,938.011,12097.3,3840.0,100.81
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,4,0,2,32,896.578,16195.8,3846.1,96.67
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,5,0,2,32,926.281,16034.8,3318.5,99.76
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,5,0,2,32,1208.574,16016.2,5016.1,130.45
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,5,0,2,32,1180.905,21061.1,5023.9,127.52
meta-llama/Llama-3.1-8B-Instruct,mmlu_hard,64,5,6,0,2,32,1269.622,20007.6,4238.5,136.81
meta-llama/Llama-3.1-8B-Instruct,gsmhard,64,5,6,0,2,32,1447.161,19800.0,5775.6,156.1
meta-llama/Llama-3.1-8B-Instruct,gpqa,64,5,6,0,2,32,1446.153,26053.8,5617.3,155.75
